Manufacturer Code,100px Swatch Tiny,Bigger Swatch,Product Group Name,Manufacturer,Filter - Material,Filter - Colour,Filter - Construction,Filter - Style,Filter - Room,Filter - Suitable For,Manufacturer Colour Name,Available Widths (m),Rug Builder Product Type,Wear Rating,Rug Builder Product?,RRP,Discount (%)
BN-L,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/BN-L.png,,Boucle Natural,Crucial Trading,Coir,"Natural,Brown,Beige",Boucle,Natural,"Dining Room,Office,Hallway Runners,Boot Room/Porch,Stairs","Castor Chairs,Underfloor Heating,Stairs",Luxury Boucle,"5.00,3.94",Material,Class 23 (Heavy Domestic),true,£49.00,1%
HBN-L,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/HBN-L.png,,Herringbone Natural,Crucial Trading,Coir,"Natural,Beige,Brown",Herringbone,Natural,"Dining Room,Office,Hallway Runners,Boot Room/Porch,Stairs","Castor Chairs,Underfloor Heating,Stairs",Luxury Herringbone,"5.00,3.94",Material,Class 23 (Heavy Domestic),true,£45.00,1%
PN-L,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/PN-L.png,,Panama Natural,Crucial Trading,Coir,"Natural,Beige,Brown",Basketweave,Natural,"Dining Room,Office,Hallway Runners,Boot Room/Porch,Stairs","Castor Chairs,Underfloor Heating,Stairs",Luxury Panama,"5.00,3.94",Material,Class 23 (Heavy Domestic),true,£45.00,1%
JT700,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/JT700.png,,Jhutex,Crucial Trading,Jute,"Beige,Natural",Boucle,Natural,"Bedroom,Living Room",Underfloor Heating,Natural,4,Material,Class 21 (Light Domestic),true,£71.00,1%
JT803,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/JT803.png,,Ju-Tweed,Crucial Trading,Jute,"Beige,Natural,Brown",Basketweave,Natural,"Bedroom,Living Room",Underfloor Heating,Natural,4,Material,Class 21 (Light Domestic),true,£71.00,1%
JT900,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/JT900.png,,Herringbone,Crucial Trading,Jute,"Beige,Natural",Herringbone,Natural,"Bedroom,Living Room",Underfloor Heating,Natural,4,Material,Class 21 (Light Domestic),true,£71.00,1%
FSBW,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/FSBW.png,,Fine Basketweave,Crucial Trading,Seagrass,"Natural,Beige,Brown",Basketweave,Natural,"Dining Room,Hallway Runners",Underfloor Heating,Basketweave,4,Material,Class 23 (Heavy Domestic),true,£54.00,1%
FSG,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/FSG.png,,Fine Seagrass,Crucial Trading,Seagrass,"Natural,Beige,Brown",Rustic,Natural,"Dining Room,Hallway Runners",Underfloor Heating,Standard,4,Material,Class 23 (Heavy Domestic),true,£51.00,1%
FSGH,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/FSGH.png,,Fine Herringbone,Crucial Trading,Seagrass,"Natural,Beige,Brown",Herringbone,Natural,"Dining Room,Hallway Runners",Underfloor Heating,Herringbone,4,Material,Class 23 (Heavy Domestic),true,£54.00,1%
SBW,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/SBW.png,,Basketweave,Crucial Trading,Seagrass,"Natural,Beige,Brown",Basketweave,Natural,"Dining Room,Hallway Runners",Underfloor Heating,Basketweave,4,Material,Class 23 (Heavy Domestic),true,£68.00,1%
SG,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/SG.png,,Original,Crucial Trading,Seagrass,"Beige,Natural,Brown",Rustic,Natural,"Dining Room,Hallway Runners",Underfloor Heating,Natural,4,Material,Class 23 (Heavy Domestic),true,£43.00,1%
SGH,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/SGH.png,,Herringbone Classic,Crucial Trading,Seagrass,"Natural,Beige,Brown",Herringbone,Natural,"Dining Room,Hallway Runners",Underfloor Heating,Herringbone,4,Material,Class 23 (Heavy Domestic),true,£48.00,1%
SGH/2,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/SGH/2.png,,Herringbone Accents,Crucial Trading,Seagrass,"Natural,Red,Brown",Herringbone,Accented,"Dining Room,Hallway Runners",Underfloor Heating,Accents Red Weft,4,Material,Class 23 (Heavy Domestic),true,£53.00,1%
C653,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/C653.png,,Small Boucle Classics,Crucial Trading,Sisal,"Natural,Brown",Boucle,Flecked,"Dining Room,Living Room,Office,Hallway Runners,Boot Room/Porch,Stairs","Castor Chairs,Underfloor Heating,Stairs",Ginger,"4.00,5.00",Material,Class 23 (Heavy Domestic),true,£63.00,1%
C654,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/C654.png,,Small Boucle Classics,Crucial Trading,Sisal,"Beige,Brown,Natural",Boucle,Flecked,"Dining Room,Living Room,Office,Hallway Runners,Boot Room/Porch,Stairs","Castor Chairs,Underfloor Heating,Stairs",Bronze,"4.00,5.00",Material,Class 23 (Heavy Domestic),true,£63.00,1%
C658,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/C658.png,,Small Boucle Accents,Crucial Trading,Sisal,"Beige,Grey,Natural",Boucle,Flecked,"Bedroom,Dining Room,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Aluminium,"4.00,5.00",Material,Class 23 (Heavy Domestic),true,£63.00,1%
C659,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/C659.png,,Small Boucle Accents,Crucial Trading,Sisal,"Beige,Natural,Grey",Boucle,Flecked,"Bedroom,Dining Room,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Antique Gold,"4.00,5.00",Material,Class 23 (Heavy Domestic),true,£63.00,1%
C714,https://storage.googleapis.com/rug-builder/images/thumbnails-100px/C714.png,,Small Boucle Accents,Crucial Trading,Sisal,Black,Boucle,Flecked,"Bedroom,Dining Room,Living Room,Office,Hallway Runners,Stairs","Castor Chairs,Underfloor Heating,Stairs",Black,4,Material,Class 23 (Heavy Domestic),true,£63.00,1%
